Word,Rank,Frequency
david,613,17
jim,614,17
de,615,17
reviews,616,17
primary,617,17
art,618,17
road,619,17
evidence,620,17
served,621,17
religious,622,17
straight,623,17
christian,624,17
book,625,17
position,626,17
official,627,17
mother,628,17
taking,629,17
effect,630,17
forces,631,17
stage,632,17
attend,633,17
moscow,634,17
housing,635,17
candidate,636,17
workers,637,17
tried,638,17
average,639,16
form,640,16
near,641,16
feet,642,16
nearly,643,16
robinson,644,16
turned,645,16
products,646,16
side,647,16
civil,648,16
want,649,16
share,650,16
commission,651,16
above,652,16
spring,653,16
tell,654,16
cotton,655,16
theater,656,16
mitchell,657,16
stand,658,16
date,659,16
despite,660,16
construction,661,16
find,662,16
bank,663,16
move,664,16
kept,665,16
operation,666,16
lead,667,16
job,668,16
welfare,669,16
failed,670,16
cost,671,16
across,672,16
designed,673,16
price,674,16
something,675,16
spirit,676,16
working,677,16
railroad,678,15
faculty,679,15
effective,680,15
thing,681,15
trade,682,15
achievement,683,15
word,684,15
reached,685,15
actually,686,15
receive,687,15
declared,688,15
presented,689,15
felt,690,15
test,691,15
modern,692,15
station,693,15
orchestra,694,15
generally,695,15
providence,696,15
though,697,15
calls,698,15
kansas,699,15
short,700,15
charter,701,15
firms,702,15
francisco,703,15
continued,704,15
fall,705,15
round,706,15
tournament,707,15
thought,708,15
live,709,15
division,710,15
name,711,15
example,712,15
heard,713,15
event,714,15
dollars,715,15
houston,716,15
pass,717,15
eisenhower,718,15
basis,719,15
apparently,720,15
nor,721,15
republicans,722,15
austin,723,15
cannot,724,15
june,725,15
summer,726,15
merely,727,15
coal,728,15
grant,729,15
talk,730,15
agreed,731,15
additional,732,14
level,733,14
interested,734,14
following,735,14
growth,736,14
hearing,737,14
estimated,738,14
agreement,739,14
land,740,14
food,741,14
parties,742,14
study,743,14
aj,744,14
using,745,14
proposal,746,14
conspiracy,747,14
limited,748,14
atlanta,749,14
arnold,750,14
call,751,14
philadelphia,752,14
value,753,14
emory,754,14
scheduled,755,14
los,756,14
perhaps,757,14
honor,758,14
happy,759,14
often,760,14
particularly,761,14
floor,762,14
officials,763,14
daily,764,14
base,765,14
measure,766,14
father,767,14
am,768,14
gallery,769,14
legislation,770,14
post,771,14
view,772,14
ohio,773,14
why,774,14
july,775,14
senator,776,14
strong,777,14
read,778,14
louis,779,14
fight,780,14
hits,781,14
important,782,14
wagner,783,14
counties,784,14
fulton,785,14
serious,786,14
williams,787,14
stein,788,14
shot,789,14
nuclear,790,14
ap,791,14
needs,792,14
having,793,14
struck,794,14
mary,795,14
sam,796,13
beat,797,13
plus,798,13
luncheon,799,13
followed,800,13
lives,801,13
churches,802,13
payroll,803,13
cuba,804,13
teaching,805,13
condition,806,13
headed,807,13
secrets,808,13
coast,809,13
letters,810,13
stadium,811,13
sense,812,13
books,813,13
follow,814,13
marriage,815,13
grants,816,13
salary,817,13
sold,818,13
thompson,819,13
couple,820,13
davis,821,13
america,822,13
seem,823,13
groups,824,13
double,825,13
really,826,13
players,827,13
vice,828,13
us,829,13
returned,830,13
winning,831,13
morton,832,13
assistant,833,13
your,834,13
voters,835,13
population,836,13
howard,837,13
fees,838,13
friends,839,13
current,840,13
concert,841,13
nation,842,13
term,843,13
warren,844,13
humor,845,13
explained,846,13
verdict,847,13
highway,848,13
decision,849,13
running,850,13
television,851,13
admitted,852,13
miles,853,13
developed,854,13
unions,855,13
boston,856,13
fair,857,13
revenues,858,13
august,859,13
pittsburgh,860,13
husband,861,13
reports,862,13
address,863,12
knee,864,12
personal,865,12
concerned,866,12
immediate,867,12
clear,868,12
professional,869,12
passing,870,12
basic,871,12
areas,872,12
black,873,12
mickey,874,12
champion,875,12
knew,876,12
programs,877,12
strike,878,12
spent,879,12
section,880,12
beach,881,12
believe,882,12
ballet,883,12
lawrence,884,12
ruled,885,12
seemed,886,12
contract,887,12
bond,888,12
changes,889,12
hope,890,12
giants,891,12
el,892,12
close,893,12
hear,894,12
appeared,895,12
worked,896,12
walk,897,12
considered,898,12
movement,899,12
shown,900,12
wide,901,12
wall,902,12
charged,903,12
weekend,904,12
southeast,905,12
independence,906,12
ready,907,12
fourth,908,12
evening,909,12
driven,910,12
commissioner,911,12
water,912,12
reasons,913,12
angeles,914,12
hardly,915,12
greater,916,12
hands,917,12
youth,918,12
include,919,12
lost,920,12
driving,921,12
leading,922,12
lee,923,12
agency,924,12
living,925,12
addition,926,12
caused,927,12
favor,928,12
opinion,929,12
finished,930,12
arrested,931,12
seek,932,12
try,933,12
elected,934,12
urged,935,12
authority,936,12
prevent,937,12
roads,938,12
americans,939,12
pressure,940,12
audience,941,12
apartment,942,11
principal,943,11
keep,944,11
hillsboro,945,11
throughout,946,11
moritz,947,11
dropped,948,11
miami,949,11
color,950,11
bus,951,11
moved,952,11
arms,953,11
let,954,11
citizens,955,11
owners,956,11
negotiations,957,11
required,958,11
orleans,959,11
possibility,960,11
joined,961,11
legislators,962,11
bargaining,963,11
wages,964,11
clearly,965,11
known,966,11
makes,967,11
outside,968,11
score,969,11
either,970,11
fashion,971,11
carry,972,11
anyone,973,11
offered,974,11
unit,975,11
listed,976,11
included,977,11
build,978,11
key,979,11
mark,980,11
rural,981,11
opportunity,982,11
performance,983,11
seems,984,11
immediately,985,11
whole,986,11
employees,987,11
met,988,11
information,989,11
hard,990,11
denver,991,11
expansion,992,11
except,993,11
russia,994,11
continue,995,11
leadership,996,11
investigation,997,11
sixth,998,11
charges,999,11
textile,1000,11
age,1001,11
free,1002,11
loss,1003,11
vital,1004,11
armed,1005,11
employes,1006,11
press,1007,11
successful,1008,11
speed,1009,11
person,1010,11
congolese,1011,11
havana,1012,11
graduate,1013,11
pitching,1014,11
personnel,1015,11
change,1016,11
shop,1017,11
democrats,1018,11
planning,1019,11
barnett,1020,11
things,1021,11
track,1022,11
investors,1023,11
recently,1024,11
especially,1025,11
financial,1026,11
geneva,1027,11
investment,1028,11
gas,1029,11
entire,1030,11
bankers,1031,11
affairs,1032,11
previous,1033,11
veteran,1034,11
turnpike,1035,11
starts,1036,10
prepared,1037,10
class,1038,10
broke,1039,10
behind,1040,10
account,1041,10
product,1042,10
ended,1043,10
science,1044,10
beyond,1045,10
budget,1046,10
boys,1047,10
tonight,1048,10
anything,1049,10
largest,1050,10
huff,1051,10
jobs,1052,10
birds,1053,10
turnpikes,1054,10
points,1055,10
acres,1056,10
increased,1057,10
taxes,1058,10
status,1059,10
academic,1060,10
sell,1061,10
attended,1062,10
stay,1063,10
oil,1064,10
win,1065,10
johnny,1066,10
buy,1067,10
lumumba,1068,10
placed,1069,10
ways,1070,10
bomb,1071,10
policies,1072,10
introduced,1073,10
operations,1074,10
hawksley,1075,10
sox,1076,10
november,1077,10
manufacturers,1078,10
begin,1079,10
treated,1080,10
hall,1081,10
faced,1082,10
harry,1083,10
joe,1084,10
french,1085,10
goal,1086,10
career,1087,10
due,1088,10
thus,1089,10
sports,1090,10
death,1091,10
feeling,1092,10
stocks,1093,10
available,1094,10
died,1095,10
less,1096,10
adopted,1097,10
troops,1098,10
paris,1099,10
al,1100,10
royal,1101,10
heavy,1102,10
commerce,1103,10
advantage,1104,10
hold,1105,10
halfback,1106,10
formerly,1107,10
reading,1108,10
designs,1109,10
born,1110,10
itself,1111,10
step,1112,10
homer,1113,10
appeals,1114,10
trip,1115,10
common,1116,10
masters,1117,10
film,1118,10
skorich,1119,10
knowledge,1120,10
dealers,1121,10
honored,1122,10
retired,1123,10
ahead,1124,10
furniture,1125,10
february,1126,10
foods,1127,10
instead,1128,10
ralph,1129,10
facilities,1130,10
mays,1131,10
southern,1132,10
request,1133,10
named,1134,10
break,1135,10
hopes,1136,10
institutions,1137,10
methods,1138,10
capitol,1139,10
approach,1140,10
statements,1141,10
plant,1142,10
nixon,1143,10
california,1144,10
recovery,1145,10
nothing,1146,10
corporation,1147,10
ground,1148,10
candidates,1149,10
maximum,1150,9
opened,1151,9
ann,1152,9
communists,1153,9
spend,1154,9
albert,1155,9
light,1156,9
ward,1157,9
delegates,1158,9
schedule,1159,9
norman,1160,9
entered,1161,9
ran,1162,9
child,1163,9
comes,1164,9
wayne,1165,9
streets,1166,9
pretty,1167,9
opposed,1168,9
fifth,1169,9
opposition,1170,9
builders,1171,9
senior,1172,9
transportation,1173,9
voted,1174,9
panel,1175,9
training,1176,9
reception,1177,9
extra,1178,9
wedding,1179,9
payments,1180,9
girl,1181,9
hot,1182,9
september,1183,9
disclosed,1184,9
announcement,1185,9
officer,1186,9
teacher,1187,9
paso,1188,9
signed,1189,9
bride,1190,9
quite,1191,9
garson,1192,9
recommended,1193,9
berlin,1194,9
pair,1195,9
works,1196,9
words,1197,9
sign,1198,9
missile,1199,9
pirates,1200,9
bears,1201,9
questioned,1202,9
lawyer,1203,9
list,1204,9
severe,1205,9
caught,1206,9
identified,1207,9
table,1208,9
gets,1209,9
ordinary,1210,9
practice,1211,9
hengesbach,1212,9
defendants,1213,9
britain,1214,9
planned,1215,9
congressional,1216,9
ability,1217,9
fiedler,1218,9
combined,1219,9
russian,1220,9
purpose,1221,9
homes,1222,9
ramsey,1223,9
flight,1224,9
cash,1225,9
pointed,1226,9
rates,1227,9
ninth,1228,9
la,1229,9
economy,1230,9
superintendent,1231,9
informed,1232,9
answer,1233,9
questions,1234,9
collective,1235,9
rhode,1236,9
agencies,1237,9
legislative,1238,9
spending,1239,9
injury,1240,9
proposals,1241,9
ten,1242,9
hitting,1243,9
arts,1244,9
cover,1245,9
degree,1246,9
contributions,1247,9
roger,1248,9
minor,1249,9
massachusetts,1250,9
samuel,1251,9
appointment,1252,9
holmes,1253,9
millions,1254,9
sherman,1255,9
colleges,1256,9
variety,1257,9
reference,1258,9
square,1259,9
meek,1260,9
responsibility,1261,9
vienna,1262,9
activities,1263,9
biggest,1264,9
shea,1265,9
peace,1266,9
greatest,1267,9
estate,1268,9
jersey,1269,9
touch,1270,9
ordered,1271,9
offer,1272,9
looks,1273,9
consultant,1274,9
issues,1275,9
beginning,1276,8
ballot,1277,8
deadlock,1278,8
conflict,1279,8
benefit,1280,8
conducted,1281,8
always,1282,8
dancing,1283,8
supplies,1284,8
baltimore,1285,8
largely,1286,8
maintenance,1287,8
franklin,1288,8
orioles,1289,8
don,1290,8
lot,1291,8
illinois,1292,8
closed,1293,8
families,1294,8
strength,1295,8
hemphill,1296,8
dick,1297,8
africa,1298,8
bid,1299,8
highest,1300,8
ask,1301,8
trouble,1302,8
records,1303,8
dave,1304,8
province,1305,8
subject,1306,8
approval,1307,8
allies,1308,8
exactly,1309,8
german,1310,8
senators,1311,8
fellow,1312,8
december,1313,8
noted,1314,8
summit,1315,8
speaking,1316,8
rejected,1317,8
whom,1318,8
winter,1319,8
barnes,1320,8
rest,1321,8
units,1322,8
accused,1323,8
residential,1324,8
strokes,1325,8
teachers,1326,8
willie,1327,8
anderson,1328,8
forced,1329,8
figure,1330,8
matching,1331,8
ones,1332,8
issued,1333,8
systems,1334,8
communism,1335,8
progress,1336,8
sale,1337,8
idea,1338,8
exhibition,1339,8
remained,1340,8
concern,1341,8
morning,1342,8
alfred,1343,8
believes,1344,8
red,1345,8
telephone,1346,8
difficult,1347,8
danger,1348,8
garden,1349,8
starting,1350,8
dramatic,1351,8
enterprise,1352,8
block,1353,8
trying,1354,8
steps,1355,8
establish,1356,8
negro,1357,8
favorite,1358,8
patrol,1359,8
none,1360,8
connection,1361,8
net,1362,8
gains,1363,8
attempt,1364,8
wrote,1365,8
brown,1366,8
january,1367,8
god,1368,8
different,1369,8
saying,1370,8
provided,1371,8
talks,1372,8
october,1373,8
throw,1374,8
driver,1375,8
publicity,1376,8
standard,1377,8
married,1378,8
delivered,1379,8
volume,1380,8
phoenix,1381,8
attending,1382,8
revenue,1383,8
crowd,1384,8
fell,1385,8
chance,1386,8
harris,1387,8
brother,1388,8
snow,1389,8
raise,1390,8
rate,1391,8
production,1392,8
reduce,1393,8
adc,1394,8
raised,1395,8
constitutional,1396,8
assistance,1397,8
jail,1398,8
taylor,1399,8
managers,1400,8
alone,1401,8
golden,1402,8
institution,1403,8
competition,1404,8
jane,1405,8
accept,1406,8
obtain,1407,8
debate,1408,8
farmers,1409,8
license,1410,8
approved,1411,8
restaurant,1412,8
dead,1413,8
carried,1414,8
errors,1415,8
oklahoma,1416,8
allowed,1417,8
representing,1418,8
spokesman,1419,8
contest,1420,8
belgian,1421,8
dean,1422,8
motel,1423,8
western,1424,8
supply,1425,8
mills,1426,8
helping,1427,8
mean,1428,8
juvenile,1429,8
gone,1430,8
walked,1431,8
assembly,1432,8
hansen,1433,8
directed,1434,8
thousands,1435,8
mind,1436,8
size,1437,8
gain,1438,8
completed,1439,8
suggested,1440,8
virginia,1441,8
fort,1442,8
therefore,1443,8
serve,1444,8
talking,1445,8
threat,1446,8
traditional,1447,8
usually,1448,8
machines,1449,7
deep,1450,7
fast,1451,7
nam,1452,7
terms,1453,7
cd,1454,7
viet,1455,7
balance,1456,7
representative,1457,7
hero,1458,7
technology,1459,7
produce,1460,7
earnings,1461,7
established,1462,7
stop,1463,7
consecutive,1464,7
savings,1465,7
johnston,1466,7
witnesses,1467,7
bought,1468,7
superior,1469,7
pieces,1470,7
salem,1471,7
inning,1472,7
par,1473,7
supported,1474,7
stroke,1475,7
acting,1476,7
nature,1477,7
ray,1478,7
representatives,1479,7
pennsylvania,1480,7
latin,1481,7
tour,1482,7
simpkins,1483,7
requests,1484,7
filed,1485,7
patricia,1486,7
simply,1487,7
assemblies,1488,7
happened,1489,7
source,1490,7
seeking,1491,7
handed,1492,7
defensive,1493,7
francis,1494,7
votes,1495,7
obvious,1496,7
reach,1497,7
atomic,1498,7
asia,1499,7
nursing,1500,7
speaker,1501,7
testified,1502,7
fee,1503,7
forest,1504,7
beverly,1505,7
rose,1506,7
technical,1507,7
low,1508,7
benington,1509,7
improvement,1510,7
presidential,1511,7
allied,1512,7
failure,1513,7
prison,1514,7
prospects,1515,7
guard,1516,7
employment,1517,7
learning,1518,7
honors,1519,7
authorities,1520,7
adequate,1521,7
tremendous,1522,7
sometimes,1523,7
modest,1524,7
pro,1525,7
parade,1526,7
allen,1527,7
studied,1528,7
lady,1529,7
institute,1530,7
petitions,1531,7
museum,1532,7
admission,1533,7
suffered,1534,7
willing,1535,7
rise,1536,7
processing,1537,7
suddenly,1538,7
quick,1539,7
harvey,1540,7
choice,1541,7
partner,1542,7
speech,1543,7
route,1544,7
houses,1545,7
hodges,1546,7
nassau,1547,7
loan,1548,7
tv,1549,7
setting,1550,7
expenses,1551,7
letter,1552,7
manner,1553,7
sitting,1554,7
formally,1555,7
latter,1556,7
castro,1557,7
continental,1558,7
earned,1559,7
argued,1560,7
practices,1561,7
conductor,1562,7
morris,1563,7
range,1564,7
peter,1565,7
apartments,1566,7
drexel,1567,7
relatively,1568,7
shortly,1569,7
voting,1570,7
customers,1571,7
pohl,1572,7
views,1573,7
advisers,1574,7
doing,1575,7
joint,1576,7
truth,1577,7
attorneys,1578,7
memorial,1579,7
hills,1580,7
attention,1581,7
distribution,1582,7
apparent,1583,7
payment,1584,7
texans,1585,7
cook,1586,7
bit,1587,7
looking,1588,7
talent,1589,7
concerts,1590,7
seen,1591,7
acts,1592,7
bases,1593,7
karns,1594,7
amateur,1595,7
chose,1596,7
closely,1597,7
paying,1598,7
batting,1599,7
lake,1600,7
martinelli,1601,7
london,1602,7
band,1603,7
accident,1604,7
certainly,1605,7
encouraging,1606,7
putt,1607,7
radio,1608,7
entertainment,1609,7
nato,1610,7
advanced,1611,7
picture,1612,7
formula,1613,7
rising,1614,7
raising,1615,7
likely,1616,7
funeral,1617,7
joan,1618,7
expense,1619,7
decisions,1620,7
cincinnati,1621,7
airport,1622,7
meanwhile,1623,7
coalition,1624,7
ruling,1625,7
van,1626,7
raymond,1627,7
cocktail,1628,7
selling,1629,7
commented,1630,7
establishment,1631,7
everybody,1632,7
join,1633,7
prince,1634,7
climate,1635,7
fly,1636,7
reaction,1637,7
france,1638,7
somewhat,1639,7
doubled,1640,7
mississippi,1641,7
wants,1642,7
conditions,1643,7
cranston,1644,7
moving,1645,7
exchange,1646,7
orders,1647,7
fighting,1648,7
champions,1649,7
below,1650,7
takes,1651,7
rice,1652,7
anne,1653,7
message,1654,7
dog,1655,7
recognized,1656,7
hoped,1657,7
native,1658,7
achieve,1659,6
slate,1660,6
suit,1661,6
explosion,1662,6
note,1663,6
gift,1664,6
created,1665,6
bright,1666,6
dollar,1667,6
closer,1668,6
toys,1669,6
affair,1670,6
buckley,1671,6
bedroom,1672,6
buchheister,1673,6
attacks,1674,6
names,1675,6
resources,1676,6
reply,1677,6
discussed,1678,6
kong,1679,6
cultural,1680,6
experience,1681,6
helen,1682,6
lao,1683,6
capital,1684,6
presentation,1685,6
christmas,1686,6
rare,1687,6
designer,1688,6
survivors,1689,6
stopped,1690,6
cleveland,1691,6
basketball,1692,6
committees,1693,6
eugene,1694,6
arkansas,1695,6
wore,1696,6
consider,1697,6
stayed,1698,6
mention,1699,6
augusta,1700,6
entertain,1701,6
clayton,1702,6
tied,1703,6
scene,1704,6
pratt,1705,6
passes,1706,6
tom,1707,6
edward,1708,6
weapons,1709,6
challenge,1710,6
leonard,1711,6
criminal,1712,6
submarine,1713,6
dental,1714,6
donald,1715,6
dreadnought,1716,6
human,1717,6
wexler,1718,6
weather,1719,6
emergency,1720,6
feels,1721,6
surprise,1722,6
master,1723,6
probation,1724,6
camera,1725,6
expects,1726,6
worse,1727,6
prize,1728,6
frequently,1729,6
integration,1730,6
rayburn,1731,6
wilson,1732,6
extending,1733,6
liston,1734,6
courts,1735,6
collected,1736,6
colmer,1737,6
cited,1738,6
built,1739,6
auditorium,1740,6
sessions,1741,6
wendell,1742,6
evanston,1743,6
crew,1744,6
convenience,1745,6
unless,1746,6
interview,1747,6
stands,1748,6
advance,1749,6
claim,1750,6
liberals,1751,6
intentions,1752,6
walker,1753,6
narcotics,1754,6
multnomah,1755,6
management,1756,6
sufficient,1757,6
watch,1758,6
true,1759,6
debentures,1760,6
rookie,1761,6
proud,1762,6
yankee,1763,6
movie,1764,6
barber,1765,6
girls,1766,6
actions,1767,6
industrial,1768,6
popular,1769,6
poor,1770,6
balls,1771,6
direct,1772,6
outstanding,1773,6
ceremonies,1774,6
critical,1775,6
sister,1776,6
located,1777,6
crime,1778,6
learn,1779,6
arrest,1780,6
giving,1781,6
parts,1782,6
mail,1783,6
deaf,1784,6
doubt,1785,6
resulted,1786,6
row,1787,6
columbus,1788,6
drop,1789,6
bay,1790,6
captain,1791,6
contemporary,1792,6
recommendations,1793,6
provides,1794,6
exports,1795,6
residents,1796,6
dance,1797,6
confidence,1798,6
participation,1799,6
newly,1800,6
favorable,1801,6
excellent,1802,6
create,1803,6
patrolman,1804,6
ruth,1805,6
guest,1806,6
task,1807,6
navy,1808,6
symphony,1809,6
door,1810,6
proved,1811,6
clark,1812,6
knocked,1813,6
italian,1814,6
parents,1815,6
patient,1816,6
valued,1817,6
marr,1818,6
workshop,1819,6
visit,1820,6
chicken,1821,6
anywhere,1822,6
waters,1823,6
knows,1824,6
announce,1825,6
cities,1826,6
gubernatorial,1827,6
organized,1828,6
larger,1829,6
bureau,1830,6
bench,1831,6
petition,1832,6
currently,1833,6
mcclellan,1834,6
advisory,1835,6
neighbors,1836,6
liberal,1837,6
review,1838,6
deal,1839,6
potato,1840,6
produced,1841,6
substantial,1842,6
detroit,1843,6
direction,1844,6
appointed,1845,6
compared,1846,6
administrator,1847,6
response,1848,6
troubles,1849,6
positions,1850,6
thanks,1851,6
buildings,1852,6
theaters,1853,6
europe,1854,6
retirement,1855,6
singled,1856,6
charlie,1857,6
complex,1858,6
sue,1859,6
historic,1860,6
detectives,1861,6
walter,1862,6
advertising,1863,6
guy,1864,6
operating,1865,6
bat,1866,6
wish,1867,6
regarded,1868,6
sought,1869,6
